x,y,z
-7.939651489257812500e+01,-2.481226158142089844e+01,8.745408630371093750e+01
-7.971829986572265625e+01,-2.479966926574707031e+01,8.770480346679687500e+01
-8.003895568847656250e+01,-2.479407882690429688e+01,8.796360015869140625e+01
-8.035836029052734375e+01,-2.479486846923828125e+01,8.823000335693359375e+01
-8.067638397216796875e+01,-2.480141830444335938e+01,8.850354766845703125e+01
-8.099291229248046875e+01,-2.481310272216796875e+01,8.878374481201171875e+01
-8.130782318115234375e+01,-2.482930564880371094e+01,8.907012939453125000e+01
-8.162098693847656250e+01,-2.484940147399902344e+01,8.936222076416015625e+01
-8.193228912353515625e+01,-2.487277030944824219e+01,8.965955352783203125e+01
-8.224160766601562500e+01,-2.489879035949707031e+01,8.996163940429687500e+01
-8.254881286621093750e+01,-2.492683982849121094e+01,9.026802062988281250e+01
-8.285379791259765625e+01,-2.495629882812500000e+01,9.057820892333984375e+01
-8.315641784667968750e+01,-2.498654365539550781e+01,9.089173889160156250e+01
-8.345657348632812500e+01,-2.501695442199707031e+01,9.120812988281250000e+01
-8.375412750244140625e+01,-2.504690933227539062e+01,9.152690887451171875e+01
-8.404895782470703125e+01,-2.507578659057617188e+01,9.184760284423828125e+01
-8.434095764160156250e+01,-2.510296630859375000e+01,9.216973876953125000e+01
-8.463005828857421875e+01,-2.512788009643554688e+01,9.249295806884765625e+01
-8.491635894775390625e+01,-2.515005683898925781e+01,9.281712341308593750e+01
-8.519995117187500000e+01,-2.516903305053710938e+01,9.314212036132812500e+01
-8.548092651367187500e+01,-2.518434715270996094e+01,9.346781158447265625e+01
-8.575938415527343750e+01,-2.519553375244140625e+01,9.379409790039062500e+01
-8.603541564941406250e+01,-2.520213508605957031e+01,9.412084197998046875e+01
-8.630912780761718750e+01,-2.520368385314941406e+01,9.444792938232421875e+01
-8.658059692382812500e+01,-2.519972038269042969e+01,9.477523803710937500e+01
-8.684993743896484375e+01,-2.518977928161621094e+01,9.510265350341796875e+01
-8.711722564697265625e+01,-2.517340087890625000e+01,9.543004608154296875e+01
-8.738257598876953125e+01,-2.515012168884277344e+01,9.575730133056640625e+01
-8.764608001708984375e+01,-2.511947822570800781e+01,9.608429718017578125e+01
-8.790782165527343750e+01,-2.508100891113281250e+01,9.641091156005859375e+01
-8.816790771484375000e+01,-2.503425216674804688e+01,9.673703002929687500e+01
-8.842642974853515625e+01,-2.497874259948730469e+01,9.706252288818359375e+01
-8.868348693847656250e+01,-2.491401863098144531e+01,9.738728332519531250e+01
-8.893917083740234375e+01,-2.483961868286132812e+01,9.771117401123046875e+01
-8.919357299804687500e+01,-2.475507926940917969e+01,9.803408813476562500e+01
-8.944676971435546875e+01,-2.465998077392578125e+01,9.835590362548828125e+01
-8.969854736328125000e+01,-2.455433654785156250e+01,9.867661285400390625e+01
-8.994853973388671875e+01,-2.443839836120605469e+01,9.899625396728515625e+01
